Label,W3,W4
303.92 320.74 
62.08 72.93 
29.68 26.19 
110.89 125.81 
176.19 182.75 
243.58 242.46 
481.16 501.37 
135.40 148.22 
310.99 294.49 
45.81 84.07 
31.73 26.90 
59.82 63.21 
38.25 34.75 
51.33 55.44 
105.35 79.38 
91.91 84.48 
107.58 99.69 
52.71 54.57 
70.08 61.55 
62.87 65.61 
149.20 108.82 
106.37 145.49 
175.07 182.69 
171.56 171.43 
122.53 101.09 
87.29 100.02 
37.95 28.14 
58.58 66.81 
70.14 80.61 
71.15 65.73 
38.75 25.17 
317.10 333.03 
81.22 78.92 
68.43 65.52 
60.78 62.10 
156.35 167.44 
142.93 95.09 
462.79 361.19 
17.81 11.52 
50.57 76.03 
60.05 41.59 
70.04 72.00 
68.40 51.21 
243.94 270.69 
69.62 62.85 
196.49 260.81 
202.64 192.50 
129.94 146.88 
137.63 147.78 
147.47 164.91 
81.95 69.96 
183.13 172.93 
70.18 50.43 
115.64 116.89 
76.40 67.66 
191.45 202.46 
83.25 70.55 
130.44 152.36 
230.77 215.63 
92.20 104.72 
93.58 61.75 
76.05 84.46 
196.33 188.23 
83.14 84.93 
7.20 4.19 
60.67 86.55 
170.05 174.90 
133.28 132.67 
97.80 97.55 
77.18 79.09 
214.66 204.77 
154.02 209.12 
50.61 36.56 
39.62 43.29 
170.20 147.50 
27.34 35.14 
50.87 42.17 
96.37 106.85 
48.72 35.79 
61.23 64.78 
143.65 142.02 
325.23 335.80 
68.59 63.54 
91.91 102.85 
208.69 205.65 
92.95 89.82 
73.86 57.02 
91.68 97.19 
111.37 103.71 
149.38 168.99 
109.71 92.64 
119.67 124.26 
158.22 150.16 
141.30 145.80 
17.23 12.12 
119.97 137.04 
166.92 139.60 
45.61 49.30 
210.82 197.29 
118.42 119.69 
70.19 51.77 
95.23 98.45 
63.96 56.60 
92.56 98.01 
158.55 157.19 
72.69 88.59 
57.88 54.75 
50.40 50.66 
50.67 38.39 
120.35 132.99 
118.55 110.27 
75.42 94.71 
88.45 69.19 
161.39 162.81 
167.29 150.25 
56.94 65.92 
157.80 145.34 
52.30 55.57 
101.94 98.60 
131.17 128.11 
115.46 102.56 
206.50 240.59 
56.53 49.73 
50.93 53.41 
84.02 72.21 
73.60 82.35 
140.99 119.58 
100.40 119.80 
78.56 63.37 
95.90 103.93 
68.48 59.79 
74.27 90.38 
93.64 85.90 
109.96 110.84 
70.09 53.95 
98.59 107.08 
170.54 143.62 
92.08 102.49 
78.85 69.59 
154.53 180.62 
246.15 241.79 
102.62 109.36 
83.79 69.60 
83.15 87.96 
185.09 170.18 
110.67 123.57 
79.11 69.82 
134.07 148.27 
33.68 13.83 
75.85 87.75 
64.87 55.94 
107.43 121.40 
88.20 79.03 
159.30 178.85 
164.28 148.00 
126.25 145.30 
66.95 51.18 
91.89 100.16 
127.94 120.15 
121.21 142.19 
77.61 66.96 
111.66 124.38 
88.89 77.04 
88.24 94.93 
72.97 66.63 
116.53 130.08 
203.16 190.10 
72.65 84.52 
58.32 52.16 
119.79 132.52 
68.00 60.06 
87.04 91.47 
84.86 70.91 
117.37 129.71 
54.80 39.02 
98.54 109.04 
76.47 65.41 
127.10 145.32 
120.63 116.41 
93.36 102.07 
96.08 83.17 
103.35 118.35 
56.96 43.87 
94.58 106.27 
76.89 73.20 
93.47 104.51 
50.46 47.45 
108.79 123.57 
78.60 67.84 
139.17 150.08 
48.08 42.01 
112.08 121.07 
52.26 44.95 
125.81 139.96 
138.01 130.22 
118.63 128.81 
170.92 162.95 
122.30 135.95 
80.05 64.44 
101.26 111.00 
